N;build;search
0;0;0
10000;0.0270911;0.000272927
20000;0.0508545;0.000256661
30000;0.0780036;0.000262201
40000;0.105201;0.000265188
50000;0.13364;0.000269454
60000;0.159305;0.000268537
70000;0.182723;0.000263506
80000;0.214811;0.000271191
90000;0.242581;0.000271721
100000;0.26528;0.000268103
110000;0.285107;0.000261363
120000;0.307888;0.000258773
130000;0.338804;0.000262795
140000;0.367822;0.000265003
150000;0.388849;0.000261781
160000;0.41753;0.000263183
170000;0.437299;0.00025957
180000;0.470565;0.000263636
190000;0.500916;0.00026586
200000;0.519406;0.000261895
