N;build;search;ab_changes
0;0;0;0
10000;0.0276131;0.000278323;1
20000;0.0532077;0.000268318;1
30000;0.0779921;0.000262162;1
40000;0.105759;0.000266616;1
50000;0.131491;0.000265232;1
60000;0.160985;0.000270462;1
70000;0.178882;0.000257681;1
80000;0.208959;0.00026338;1
90000;0.220868;0.000247532;1
100000;0.251655;0.000253828;1
110000;0.279038;0.00025588;1
120000;0.310112;0.000260518;1
130000;0.355711;0.000276176;1
140000;0.365381;0.000263105;1
150000;0.376274;0.000252995;1
160000;0.442537;0.000278702;1
170000;0.444637;0.000263766;1
180000;0.465824;0.000260942;1
190000;0.496686;0.000263639;1
200000;0.517327;0.000260823;1
